[2023-06-17 15:56:34] INFO | 300954178 | source file: AgACAgIAAxkBAAM_ZI2tgZT_RkCxh0KjMQRFW3ZtmKUAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA | image_file: AgACAgIAAxkBAAM6ZI2tXbKBWKLD_CWRD3WyFEYVLOIAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA
[2023-06-17 15:56:55] INFO | Started loading photo style for 300954178
[2023-06-17 15:56:56] INFO | 300954178 loading AgACAgIAAxkBAANEZI2tmOpNtmBAsewljtpJp04-0JYAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA.jpg
[2023-06-17 15:56:56] INFO | FSMContextProxy state = 'Form:image_style', data = {'image_style': 'AgACAgIAAxkBAANEZI2tmOpNtmBAsewljtpJp04-0JYAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA', 'image_source': 'AgACAgIAAxkBAAM_ZI2tgZT_RkCxh0KjMQRFW3ZtmKUAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA', 'size': [1280, 486]}, closed = True
[2023-06-17 15:56:57] INFO | 300954178 generating photo
[2023-06-17 15:56:57] INFO | 300954178 | source file: AgACAgIAAxkBAAM_ZI2tgZT_RkCxh0KjMQRFW3ZtmKUAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA | image_file: AgACAgIAAxkBAANEZI2tmOpNtmBAsewljtpJp04-0JYAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA
[2023-06-17 15:57:00] INFO | Started loading photo source for 300954178
[2023-06-17 15:57:01] INFO | 300954178 loading AgACAgIAAxkBAANJZI2tnrr5bXf-RPnMhWCVTGtnpOEAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA.jpg
[2023-06-17 15:57:01] INFO | FSMContextProxy state = 'Form:image_source', data = {'image_style': 'AgACAgIAAxkBAANEZI2tmOpNtmBAsewljtpJp04-0JYAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA', 'image_source': 'AgACAgIAAxkBAANJZI2tnrr5bXf-RPnMhWCVTGtnpOEAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA', 'size': [1280, 486]}, closed = True
[2023-06-17 15:57:07] INFO | 300954178 generating photo
[2023-06-17 15:57:07] INFO | 300954178 | source file: AgACAgIAAxkBAANJZI2tnrr5bXf-RPnMhWCVTGtnpOEAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA | image_file: AgACAgIAAxkBAANEZI2tmOpNtmBAsewljtpJp04-0JYAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA
[2023-06-17 15:57:10] INFO | 300954178 loading AgACAgIAAxkBAANMZI2tpu9z2XDLGCSiIhKgN77R8XMAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA.jpg
